======================
BLEU:            89.29
SIM:            0.9616
======================
         BLEU | SIM
0778 -  95.12 | 0.9898
0779 -  10.35 | 0.9921
0780 -  16.25 | 0.9691
0781 -  28.73 | 0.9280
0782 -   0.00 | 0.8963
0783 -  30.59 | 0.9906
0784 -  52.49 | 0.9843
0785 -  77.81 | 0.9802
0786 -  86.69 | 0.9687
0787 -  90.34 | 0.9741
0788 -   0.00 | 0.9938
0789 -   0.00 | 0.9250
0790 -  93.08 | 0.9681
0791 -  14.31 | 0.9903
0792 -  81.18 | 0.8904
0793 -  71.62 | 0.9913
0794 -  40.25 | 0.9639
0795 -  95.04 | 0.9743
0796 -  86.49 | 0.8820
0797 -  76.74 | 0.9439
0798 -  23.04 | 0.9729
0799 -  85.88 | 0.9703
0800 -  83.35 | 0.9254
0801 -  65.95 | 0.9930
0802 -  27.24 | 0.9821
0803 -  29.82 | 0.9802
0804 -  57.81 | 0.9634
0805 -  39.99 | 0.9849
0806 -  90.22 | 0.9649
0807 -  38.34 | 0.9605
0808 -   9.04 | 0.9953
0809 -  89.41 | 0.9451
0810 -  92.14 | 0.9852
0811 -  95.36 | 0.9678
0812 -  53.84 | 0.9654
0813 -   0.00 | 0.9933
0814 -  81.52 | 0.9365
0815 -  30.60 | 0.9178
0816 -  49.69 | 0.9603
0817 -  18.88 | 0.9667
0818 -  27.15 | 0.9870
0819 -  30.02 | 0.9565
0820 -  31.42 | 0.9524
0821 -  34.76 | 0.9645
0822 -  95.89 | 0.9861
0823 -  45.52 | 0.9953
0824 -  74.66 | 0.9892
0825 -  20.04 | 0.9818
0826 -   0.00 | 0.8149
0827 -  14.40 | 0.9844
0828 -  81.75 | 0.9774
0829 -  25.31 | 0.9848
0830 -  55.61 | 0.9894
0831 -  63.28 | 0.8515
0832 -  52.98 | 0.9621
======================
