======================
BLEU:            45.03
SIM:            0.9083
======================
         BLEU | SIM
0648 -  19.20 | 0.8681
0649 -  56.29 | 0.8573
0650 -  77.40 | 0.9225
0651 -  90.70 | 0.9621
0652 -   8.31 | 0.9610
0653 -  14.24 | 0.9805
0654 -  91.40 | 0.7529
0655 -  12.46 | 0.8226
0656 -  53.83 | 0.9846
0657 -  35.54 | 0.9848
0658 -   0.00 | 0.9847
0659 -  63.53 | 0.9000
0660 -  24.43 | 0.8363
0661 -   0.00 | 0.6676
0662 -  73.07 | 0.9362
0663 -  14.93 | 0.8437
0664 -  48.67 | 0.9191
0665 -  87.31 | 0.9825
0666 -  59.56 | 0.9895
0667 -  25.77 | 0.9647
0668 -  73.12 | 0.8290
0669 -   0.00 | 0.9645
0670 -  59.81 | 0.8883
0671 -  57.06 | 0.9159
0672 -  71.99 | 0.9589
0673 -  40.52 | 0.9107
0674 -  14.81 | 0.9887
0675 -   0.00 | 0.8747
0676 -  51.40 | 0.8805
0677 -   6.87 | 0.7970
0678 -  74.46 | 0.9008
0679 -  90.27 | 0.9660
0680 -  97.77 | 0.9269
0681 -  77.30 | 0.9620
0682 -   0.00 | 0.9994
0683 -  79.96 | 0.9327
0684 -  30.95 | 0.6624
0685 -  46.90 | 0.9701
0686 -  43.84 | 0.8581
0687 -   0.00 | 0.9500
0688 -  59.45 | 0.9495
0689 -  83.57 | 0.9907
0690 -  36.53 | 0.9764
0691 -  98.06 | 0.9698
0692 -  97.99 | 0.9554
0693 -   9.59 | 0.9859
0694 -   0.00 | 0.9493
0695 -  76.03 | 0.9727
0696 -  98.63 | 0.9520
0697 -  57.74 | 0.8854
0698 -   0.00 | 0.6965
0699 -  30.92 | 0.9023
0700 -   0.00 | 0.9062
0701 -  62.31 | 0.7669
0702 -   0.00 | 0.9064
0703 -  27.18 | 0.9860
0704 -  33.76 | 0.8621
0705 -   0.00 | 0.9392
0706 -  72.05 | 0.8876
0707 -  59.30 | 0.9837
0708 -  97.84 | 0.8687
0709 -  13.75 | 0.8909
0710 -   0.00 | 0.9546
0711 -  33.16 | 0.7056
0712 -   0.00 | 0.6920
0713 -   0.00 | 0.9128
0714 -  10.21 | 0.8960
0715 -  67.65 | 0.9501
0716 -   0.00 | 0.9027
0717 -  63.09 | 0.9226
0718 -  85.42 | 0.9182
0719 -  98.56 | 0.9287
0720 -  58.51 | 0.9820
0721 -  58.75 | 0.8723
0722 -  98.65 | 0.9201
0723 -  69.55 | 0.9343
0724 -   3.99 | 0.9377
0725 -  19.96 | 0.9106
0726 -   4.55 | 0.9650
0727 -  19.17 | 0.8845
0728 - 100.00 | 0.7634
0729 -  91.03 | 0.9614
0730 -  74.49 | 0.8510
