======================
BLEU:            72.96
SIM:            0.9083
======================
         BLEU | SIM
0540 -  84.01 | 0.9060
0541 -  62.75 | 0.9090
0542 -  28.31 | 0.9386
0543 -   0.00 | 0.9478
0544 -   0.00 | 0.8721
0545 -  96.21 | 0.8775
0546 -   7.95 | 0.9049
0547 -  75.39 | 0.9660
0548 -  47.49 | 0.8623
0549 -  63.91 | 0.9274
0550 -  49.20 | 0.8971
0551 -  99.80 | 0.9117
0552 -  40.72 | 0.9649
0553 -   0.00 | 0.9349
0554 -  46.13 | 0.9370
0555 -  40.82 | 0.9811
0556 -   0.00 | 0.9112
0557 -  58.88 | 0.7634
0558 -  76.68 | 0.9803
0559 -   0.00 | 0.5975
0560 -  84.52 | 0.9189
0561 -  89.35 | 0.8898
0562 -  16.43 | 0.9788
0563 -  47.64 | 0.9866
0564 -  32.24 | 0.9606
0565 -   9.98 | 0.8953
0566 -  11.45 | 0.9076
0567 -   0.00 | 0.9531
0568 -  11.19 | 0.8755
0569 -   8.83 | 0.9690
0570 -  14.52 | 0.9415
0571 -   0.00 | 0.9504
0572 -   0.00 | 0.9851
0573 -  59.57 | 0.9465
0574 -   0.00 | 0.9687
0575 -  64.48 | 0.7893
0576 -  35.84 | 0.9620
0577 -  79.51 | 0.9592
0578 -  63.12 | 0.9867
0579 -  55.16 | 0.9429
0580 -  31.12 | 0.9804
0581 -  57.38 | 0.9236
0582 -  33.84 | 0.8859
0583 -  67.71 | 0.9661
0584 -  22.73 | 0.9401
0585 -  52.17 | 0.8473
0586 -  30.24 | 0.9767
0587 -  92.41 | 0.8591
0588 -  69.58 | 0.7647
0589 -  54.83 | 0.9339
0590 -   8.11 | 0.9564
0591 -   0.00 | 0.8681
0592 -  28.69 | 0.8068
0593 -  69.80 | 0.9830
0594 -  20.99 | 0.9137
0595 -  27.37 | 0.9640
0596 - 100.00 | 0.9155
0597 -   0.00 | 0.9212
0598 -  17.85 | 0.9709
0599 -  15.12 | 0.8237
0600 -  19.41 | 0.7463
0601 -  55.83 | 0.9039
0602 -  34.68 | 0.9068
0603 -  41.96 | 0.8833
0604 -   0.00 | 0.8933
0605 -  37.45 | 0.9373
0606 -  67.16 | 0.9475
0607 -  24.07 | 0.9562
0608 -  23.71 | 0.8893
0609 -   0.00 | 0.9286
0610 -  70.03 | 0.8809
0611 -  74.08 | 0.8274
0612 -  82.73 | 0.9551
0613 -  72.96 | 0.9855
0614 -  52.70 | 0.9155
0615 -  71.76 | 0.8932
0616 -  62.24 | 0.8807
0617 -  62.60 | 0.9417
0618 -   0.00 | 0.8802
0619 -   0.00 | 0.9213
0620 -  58.73 | 0.9560
0621 -  32.04 | 0.9557
0622 -  62.79 | 0.9321
0623 -  53.58 | 0.9612
0624 -  79.28 | 0.9350
0625 -  22.74 | 0.9604
0626 -  67.81 | 0.9518
0627 -  22.89 | 0.9510
0628 -  89.79 | 0.9632
0629 -  12.90 | 0.9545
0630 -   5.21 | 0.9593
0631 -  73.65 | 0.8823
0632 -  48.69 | 0.7461
0633 -  94.60 | 0.9802
0634 -  11.17 | 0.5918
0635 - 100.00 | 0.9328
0636 -  16.69 | 0.9385
0637 -  24.63 | 0.8236
0638 -  23.77 | 0.8978
0639 -  69.85 | 0.9267
0640 -  63.37 | 0.9418
0641 -  30.49 | 0.9127
0642 -  88.95 | 0.9558
0643 -  47.29 | 0.9905
0644 -  23.44 | 0.9042
0645 -  32.39 | 0.9023
0646 -  21.80 | 0.7690
0647 -  89.31 | 0.8754
0648 -  18.59 | 0.8681
0649 -  55.99 | 0.8573
0650 -  76.27 | 0.9225
0651 -  88.25 | 0.9621
0652 -   7.50 | 0.9610
0653 -  12.91 | 0.9805
0654 -  93.23 | 0.7529
0655 -  10.30 | 0.8226
0656 -  49.22 | 0.9846
0657 -  33.69 | 0.9848
0658 -   0.00 | 0.9847
