==============================================
BLEU GOLD:                               28.01
BLEU IN:                                 37.20
SIM GOLD:                               0.8616
SIM IN:                                 0.8923
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0307 -     27.39 |  100.00 |     0.93 |   1.00
0308 -      0.00 |    0.00 |     0.55 |   0.59
0309 -     18.42 |   23.80 |     0.94 |   0.96
0310 -     35.85 |   38.39 |     0.94 |   0.99
0311 -     70.57 |   98.75 |     0.94 |   0.96
0312 -      6.82 |    6.76 |     0.89 |   0.89
0313 -     77.81 |   89.88 |     0.88 |   0.95
0314 -      0.00 |    0.00 |     0.88 |   0.91
0315 -     85.16 |  100.00 |     0.97 |   1.00
0316 -     81.99 |   84.26 |     0.93 |   0.94
0317 -      0.00 |    0.00 |     0.91 |   0.91
0318 -      0.00 |    0.00 |     0.80 |   0.95
0319 -     61.13 |   64.93 |     0.93 |   0.94
0320 -      0.00 |   25.26 |     0.98 |   1.00
0321 -     22.36 |   22.66 |     0.64 |   0.63
0322 -     35.39 |   34.78 |     0.92 |   0.93
0323 -      7.13 |    0.00 |     0.96 |   0.97
0324 -      0.00 |    0.00 |     0.48 |   0.46
0325 -      0.00 |    0.00 |     0.74 |   0.61
0326 -     41.70 |   41.58 |     0.94 |   0.96
0327 -     92.88 |   98.94 |     0.97 |   0.99
0328 -     14.05 |   79.35 |     0.95 |   0.95
0329 -      0.00 |    0.00 |     0.70 |   0.74
0330 -     47.88 |   47.88 |     0.90 |   1.00
0331 -     46.47 |   41.09 |     0.92 |   0.96
0332 -     87.98 |   97.00 |     0.96 |   1.00
0333 -      0.00 |    0.00 |     0.88 |   0.93
0334 -     84.89 |  100.00 |     0.97 |   1.00
0335 -     35.94 |   32.62 |     0.92 |   0.93
0336 -     54.89 |   92.70 |     0.87 |   0.94
0337 -      0.00 |    0.00 |     0.71 |   0.72
0338 -      0.00 |   79.03 |     0.93 |   0.88
0339 -     21.15 |   98.55 |     0.97 |   1.00
0340 -     12.74 |   19.76 |     0.98 |   0.98
0341 -     13.22 |   13.16 |     0.92 |   0.91
0342 -      0.00 |    0.00 |     0.83 |   0.84
0343 -      9.76 |    9.66 |     0.99 |   1.00
0344 -      0.00 |    0.00 |     0.95 |   0.96
0345 -     19.18 |   19.87 |     0.97 |   0.98
0346 -      0.00 |    0.00 |     0.64 |   0.64
0347 -      0.00 |    0.00 |     0.33 |   0.34
0348 -     46.53 |   92.94 |     0.94 |   0.96
0349 -     76.40 |  100.00 |     0.98 |   1.00
0350 -     45.52 |  100.00 |     0.95 |   1.00
0351 -     66.83 |   66.27 |     0.96 |   0.98
0352 -     52.82 |   48.97 |     0.83 |   0.96
0353 -     64.93 |   64.72 |     0.95 |   0.95
0354 -     38.20 |   45.96 |     0.95 |   0.96
0355 -      0.00 |    0.00 |     0.81 |   0.79
0356 -     23.10 |   13.45 |     0.86 |   0.86
0357 -     87.58 |   67.72 |     0.93 |   0.96
0358 -     73.84 |  100.00 |     0.92 |   1.00
0359 -      0.00 |    0.00 |     0.86 |   0.89
0360 -     85.49 |   98.36 |     0.90 |   0.97
0361 -      0.00 |    0.00 |     0.88 |   0.88
0362 -     19.72 |    0.00 |     0.94 |   0.96
0363 -      6.59 |   85.92 |     0.95 |   0.98
0364 -      0.00 |    0.00 |     0.86 |   0.90
0365 -      0.00 |    0.00 |     0.74 |   0.75
0366 -      0.00 |    0.00 |     0.69 |   0.74
0367 -      0.00 |    0.00 |     0.85 |   0.89
0368 -      0.00 |    0.00 |     0.90 |   0.93
