==============================================
BLEU GOLD:                               29.67
BLEU IN:                                 53.27
SIM GOLD:                               0.8718
SIM IN:                                 0.9549
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0219 -      0.00 |    0.00 |     0.87 |   0.95
0220 -     77.63 |   37.66 |     0.94 |   0.98
0221 -     49.97 |   98.29 |     0.94 |   0.96
0222 -      0.00 |    0.00 |     0.76 |   0.81
0223 -     79.78 |   98.99 |     0.94 |   0.99
0224 -      0.00 |    0.00 |     0.88 |   0.90
0225 -      0.00 |    0.00 |     0.82 |   0.92
0226 -     82.31 |  100.00 |     0.94 |   1.00
0227 -      7.50 |   54.69 |     0.96 |   1.00
0228 -     59.08 |    0.00 |     0.89 |   0.94
0229 -     51.48 |  100.00 |     0.51 |   1.00
0230 -      6.70 |   40.06 |     0.89 |   0.98
0231 -     55.75 |   73.57 |     0.91 |   1.00
0232 -      0.00 |   94.89 |     0.93 |   0.98
0233 -     18.09 |   98.92 |     0.93 |   1.00
0234 -     88.79 |  100.00 |     0.98 |   1.00
0235 -      0.00 |   56.72 |     0.95 |   1.00
0236 -     28.31 |   79.15 |     0.98 |   1.00
0237 -      9.24 |   63.91 |     0.82 |   0.89
0238 -      0.00 |    0.00 |     0.76 |   0.90
0239 -     97.93 |   98.51 |     0.92 |   1.00
0240 -     53.12 |   62.86 |     0.88 |   0.99
0241 -     17.82 |  100.00 |     0.98 |   1.00
0242 -      0.00 |   33.38 |     0.81 |   0.84
0243 -      0.00 |   20.83 |     0.97 |   1.00
0244 -     49.64 |   33.84 |     0.79 |   0.89
0245 -     57.50 |   82.74 |     0.83 |   0.96
0246 -      0.00 |   27.24 |     0.85 |   1.00
0247 -      5.89 |    6.04 |     0.90 |   0.94
0248 -     95.24 |  100.00 |     0.97 |   1.00
0249 -     16.25 |   97.47 |     0.98 |   1.00
0250 -      0.00 |    0.00 |     0.71 |   0.67
0251 -      0.00 |   99.42 |     0.95 |   0.99
0252 -     30.59 |   82.12 |     0.74 |   0.89
0253 -      3.88 |    4.10 |     0.81 |   0.98
0254 -      0.00 |    0.00 |     0.80 |   0.81
0255 -      0.00 |    0.00 |     0.71 |   0.80
0256 -     33.97 |    0.00 |     0.77 |   0.85
0257 -      0.00 |  100.00 |     0.86 |   1.00
0258 -     44.19 |  100.00 |     0.85 |   1.00
0259 -     67.29 |  100.00 |     0.88 |   1.00
0260 -     42.15 |   99.11 |     0.95 |   1.00
0261 -      6.21 |    6.35 |     0.97 |   0.99
0262 -      0.00 |    0.00 |     0.89 |   0.92
0263 -      0.00 |    0.00 |     0.81 |   0.94
0264 -     17.41 |   91.79 |     0.94 |   0.96
0265 -     43.33 |  100.00 |     0.74 |   1.00
0266 -     19.99 |   98.03 |     0.95 |   0.96
0267 -      0.00 |   42.47 |     0.87 |   0.99
0268 -     56.53 |   82.69 |     0.77 |   0.97
0269 -     48.19 |  100.00 |     0.92 |   1.00
