==============================================
BLEU GOLD:                               53.80
BLEU IN:                                 59.97
ACC GOLD:                               0.0036
ACC IN:                                 0.0697
SIM GOLD:                               0.8373
SIM IN:                                 0.8667
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0350 -     42.00 |  100.00 |     0.95 |   1.00
0351 -      0.00 |    0.00 |     0.91 |   0.94
0352 -     90.12 |  100.00 |     0.87 |   1.00
0353 -     21.03 |   21.03 |     0.93 |   0.94
0354 -      0.00 |    0.00 |     0.92 |   0.91
0355 -     19.96 |   18.06 |     0.96 |   0.97
0356 -     34.28 |   30.66 |     0.93 |   0.93
0357 -     58.06 |   55.79 |     0.95 |   0.97
0358 -     72.66 |  100.00 |     0.92 |   1.00
0359 -      0.00 |    0.00 |     0.73 |   0.74
0360 -     33.27 |   99.71 |     0.89 |   0.94
0361 -      0.00 |    0.00 |     0.79 |   0.79
0362 -     75.62 |   94.38 |     0.97 |   0.99
0363 -     14.08 |   59.45 |     0.76 |   0.75
0364 -     41.89 |   41.73 |     0.95 |   0.99
0365 -      0.00 |    0.00 |     0.75 |   0.76
0366 -      0.00 |    0.00 |     0.90 |   0.95
0367 -      0.00 |    0.00 |     0.80 |   0.84
0368 -      0.00 |    0.00 |     0.81 |   0.84
0369 -      6.72 |   30.24 |     0.95 |   0.97
0370 -      9.13 |   83.60 |     0.95 |   0.97
0371 -     12.14 |   11.29 |     0.91 |   0.94
0372 -      0.00 |    0.00 |     0.89 |   0.89
0373 -     11.18 |   11.18 |     0.90 |   0.93
0374 -      0.00 |   36.82 |     0.87 |   0.90
0375 -     78.75 |   86.68 |     0.85 |   0.93
0376 -      9.42 |    9.11 |     0.78 |   0.81
0377 -     46.90 |   46.09 |     0.92 |   0.96
0378 -     10.08 |   44.61 |     0.69 |   0.77
0379 -      0.00 |    0.00 |     0.60 |   0.64
0380 -     12.61 |   13.16 |     0.83 |   0.85
0381 -      0.00 |    0.00 |     0.88 |   0.88
