==============================================
BLEU GOLD:                               59.96
BLEU IN:                                 80.79
ACC GOLD:                               0.0010
ACC IN:                                 0.2060
SIM GOLD:                               0.8718
SIM IN:                                 0.9549
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0449 -     39.12 |   99.86 |     0.90 |   0.98
0450 -      0.00 |    0.00 |     0.96 |   0.98
0451 -      0.00 |   71.21 |     0.81 |   0.97
0452 -      0.00 |  100.00 |     0.79 |   1.00
0453 -     39.53 |  100.00 |     0.60 |   1.00
0454 -     59.22 |  100.00 |     0.93 |   1.00
0455 -     99.75 |  100.00 |     0.89 |   1.00
0456 -     61.33 |   51.77 |     0.93 |   0.96
0457 -     24.31 |   21.50 |     0.91 |   0.98
0458 -     50.15 |  100.00 |     0.69 |   1.00
0459 -      0.00 |  100.00 |     0.94 |   1.00
0460 -      0.00 |    0.00 |     0.91 |   0.92
0461 -      0.00 |    0.00 |     0.81 |   0.91
0462 -     89.79 |  100.00 |     0.91 |   1.00
0463 -     93.07 |   89.08 |     0.90 |   0.98
0464 -      9.87 |   11.41 |     0.87 |   0.99
0465 -      0.00 |    0.00 |     0.93 |   0.94
0466 -      0.00 |    0.00 |     0.01 |   0.06
0467 -     80.68 |   91.06 |     0.98 |   1.00
0468 -      0.00 |    0.00 |     0.98 |   1.00
0469 -      6.93 |   87.34 |     0.90 |   0.95
0470 -     94.85 |    0.00 |     0.92 |   0.88
0471 -      5.70 |    4.36 |     0.92 |   0.97
0472 -     11.14 |   13.95 |     0.62 |   0.68
0473 -      6.29 |   29.96 |     0.86 |   0.91
0474 -     21.31 |   62.06 |     0.94 |   1.00
0475 -     39.18 |  100.00 |     0.96 |   1.00
0476 -      0.00 |    5.70 |     0.83 |   0.87
0477 -     35.25 |   35.44 |     0.97 |   1.00
0478 -     61.01 |   48.20 |     0.81 |   0.91
0479 -     54.13 |   98.71 |     0.92 |   0.98
0480 -      0.00 |  100.00 |     0.85 |   1.00
0481 -     71.61 |  100.00 |     0.98 |   1.00
0482 -     22.18 |  100.00 |     0.94 |   1.00
0483 -     19.31 |   99.24 |     0.96 |   1.00
0484 -     17.07 |   49.14 |     0.86 |   0.95
0485 -     35.68 |   45.71 |     0.90 |   0.96
0486 -      0.00 |    0.00 |     0.94 |   0.98
0487 -     97.99 |   98.52 |     0.95 |   0.99
