==============================================
BLEU GOLD:                               45.70
BLEU IN:                                 60.81
ACC GOLD:                               0.0000
ACC IN:                                 0.0540
SIM GOLD:                               0.7987
SIM IN:                                 0.8724
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0468 -      0.00 |    0.00 |     0.94 |   0.97
0469 -      0.00 |    0.00 |     0.65 |   0.68
0470 -      6.22 |    0.00 |     0.86 |   0.92
0471 -      0.00 |    0.00 |     0.61 |   0.70
0472 -     14.13 |   14.88 |     0.57 |   0.76
0473 -      5.60 |    5.90 |     0.50 |   0.54
0474 -      5.62 |   30.65 |     0.90 |   0.95
0475 -     42.95 |   32.30 |     0.95 |   0.99
0476 -      5.58 |    0.00 |     0.82 |   0.91
0477 -     35.31 |   35.05 |     0.90 |   0.93
0478 -     66.28 |   51.01 |     0.81 |   0.90
0479 -     55.69 |   87.30 |     0.92 |   0.97
0480 -     18.67 |   32.85 |     0.23 |   0.47
0481 -     18.55 |    0.00 |     0.92 |   0.95
0482 -      8.89 |   46.38 |     0.90 |   0.95
0483 -     19.40 |   91.68 |     0.96 |   0.99
0484 -     16.78 |   27.83 |     0.81 |   0.90
0485 -      9.50 |    0.00 |     0.81 |   0.82
0486 -     77.34 |   99.45 |     0.93 |   0.98
0487 -     99.85 |  100.00 |     0.95 |   0.99
0488 -      0.00 |    0.00 |     0.85 |   0.87
0489 -      0.00 |    0.00 |     0.86 |   0.91
0490 -     86.42 |   96.11 |     0.97 |   1.00
0491 -     16.63 |   26.03 |     0.78 |   0.83
0492 -      0.00 |    0.00 |     0.42 |   0.63
0493 -     59.13 |   46.96 |     0.91 |   1.00
0494 -      0.00 |    0.00 |     0.65 |   0.81
0495 -     23.72 |   24.83 |     0.92 |   0.94
0496 -     27.81 |   69.40 |     0.71 |   0.78
0497 -     63.73 |   94.83 |     0.85 |   0.99
0498 -     18.04 |    0.00 |     0.95 |   0.93
0499 -     26.49 |   31.35 |     0.79 |   0.83
