==================
SIM GOLD:   0.9254
SIM IN:     0.9566
==================
       GOLD |  IN
0747 - 0.97 | 0.96
0748 - 0.99 | 1.00
0749 - 0.95 | 1.00
0750 - 0.96 | 1.00
0751 - 0.96 | 1.00
0752 - 0.72 | 0.72
0753 - 0.94 | 1.00
0754 - 0.99 | 1.00
0755 - 0.87 | 0.95
0756 - 0.99 | 1.00
0757 - 0.95 | 1.00
0758 - 0.17 | 0.18
0759 - 0.98 | 0.99
0760 - 0.95 | 0.99
0761 - 0.99 | 1.00
0762 - 0.97 | 0.98
0763 - 0.96 | 0.97
0764 - 0.98 | 1.00
0765 - 0.91 | 1.00
0766 - 0.98 | 1.00
0767 - 0.97 | 1.00
0768 - 0.98 | 1.00
0769 - 0.91 | 0.95
0770 - 0.99 | 1.00
0771 - 0.97 | 1.00
0772 - 0.89 | 0.92
0773 - 0.90 | 0.93
0774 - 0.94 | 0.96
0775 - 0.97 | 0.99
0776 - 0.82 | 0.85
0777 - 0.98 | 1.00
0778 - 0.97 | 1.00
0779 - 0.94 | 1.00
0780 - 0.98 | 0.98
0781 - 0.97 | 1.00
0782 - 0.97 | 1.00
0783 - 0.94 | 0.95
0784 - 0.79 | 0.79
0785 - 0.79 | 0.88
0786 - 0.92 | 0.99
0787 - 0.76 | 0.80
0788 - 0.90 | 1.00
0789 - 0.97 | 1.00
0790 - 0.96 | 1.00
0791 - 0.97 | 1.00
0792 - 0.80 | 0.81
0793 - 0.77 | 1.00
0794 - 0.92 | 0.95
0795 - 0.93 | 0.94
0796 - 0.79 | 0.81
0797 - 0.86 | 0.88
0798 - 0.86 | 0.87
0799 - 0.94 | 0.99
0800 - 0.89 | 0.99
0801 - 0.96 | 1.00
0802 - 0.88 | 1.00
0803 - 0.94 | 1.00
0804 - 0.98 | 1.00
0805 - 0.63 | 0.64
0806 - 0.97 | 0.97
0807 - 0.92 | 0.93
0808 - 0.93 | 0.98
0809 - 0.81 | 0.81
0810 - 0.97 | 0.99
0811 - 0.82 | 0.82
0812 - 0.96 | 1.00
0813 - 0.99 | 1.00
0814 - 0.99 | 1.00
0815 - 0.98 | 1.00
0816 - 0.83 | 0.91
0817 - 0.77 | 0.97
0818 - 0.87 | 0.87
0819 - 0.92 | 0.96
0820 - 0.96 | 1.00
0821 - 0.72 | 0.83
0822 - 0.94 | 0.99
0823 - 0.97 | 1.00
0824 - 0.94 | 0.99
0825 - 0.99 | 1.00
0826 - 0.99 | 1.00
0827 - 0.98 | 1.00
0828 - 0.94 | 0.95
0829 - 1.00 | 1.00
0830 - 0.98 | 1.00
0831 - 0.95 | 0.97
0832 - 0.78 | 0.78
0833 - 0.99 | 1.00
0834 - 0.89 | 0.88
0835 - 0.99 | 1.00
0836 - 0.99 | 1.00
0837 - 0.94 | 0.94
0838 - 0.98 | 1.00
0839 - 0.79 | 0.78
0840 - 0.89 | 0.98
0841 - 0.85 | 0.86
0842 - 0.98 | 1.00
0843 - 0.87 | 0.87
0844 - 0.94 | 1.00
0845 - 0.93 | 0.96
0846 - 0.94 | 0.99
0847 - 0.97 | 1.00
0848 - 0.88 | 0.97
0849 - 0.93 | 0.98
0850 - 0.98 | 1.00
0851 - 0.87 | 0.99
0852 - 0.92 | 0.93
0853 - 0.69 | 0.73
0854 - 0.77 | 1.00
0855 - 1.00 | 1.00
0856 - 0.94 | 1.00
0857 - 0.97 | 0.97
0858 - 0.92 | 0.94
0859 - 0.97 | 1.00
0860 - 0.98 | 1.00
0861 - 0.93 | 1.00
0862 - 0.83 | 1.00
0863 - 0.99 | 1.00
0864 - 0.98 | 0.99
0865 - 0.98 | 1.00
0866 - 0.97 | 1.00
0867 - 0.97 | 1.00
0868 - 0.96 | 1.00
0869 - 0.90 | 0.91
0870 - 0.94 | 0.92
0871 - 1.00 | 0.98
0872 - 0.99 | 1.00
0873 - 0.99 | 1.00
0874 - 0.97 | 0.98
0875 - 0.95 | 0.97
0876 - 0.95 | 0.98
0877 - 0.95 | 1.00
0878 - 0.99 | 1.00
0879 - 0.98 | 0.99
