==================
SIM GOLD:   0.9156
SIM IN:     0.9478
==================
       GOLD |  IN
0832 - 0.73 | 0.74
0833 - 0.99 | 1.00
0834 - 0.88 | 0.88
0835 - 0.96 | 0.97
0836 - 0.95 | 0.95
0837 - 0.95 | 0.95
0838 - 0.92 | 0.94
0839 - 0.71 | 0.71
0840 - 0.89 | 0.98
0841 - 0.78 | 0.81
0842 - 0.95 | 0.97
0843 - 0.88 | 0.88
0844 - 0.94 | 1.00
0845 - 0.97 | 1.00
0846 - 0.83 | 0.90
0847 - 0.97 | 1.00
0848 - 0.86 | 0.91
0849 - 0.96 | 0.99
0850 - 0.98 | 1.00
0851 - 0.87 | 0.99
0852 - 0.91 | 0.92
0853 - 0.76 | 0.81
0854 - 0.77 | 1.00
0855 - 1.00 | 1.00
0856 - 0.94 | 1.00
0857 - 0.93 | 0.94
0858 - 0.93 | 0.94
0859 - 0.96 | 0.98
0860 - 0.92 | 0.94
0861 - 0.93 | 1.00
0862 - 0.83 | 1.00
0863 - 0.90 | 0.92
0864 - 0.91 | 0.91
0865 - 0.90 | 0.91
0866 - 0.95 | 0.98
0867 - 0.97 | 1.00
0868 - 0.96 | 1.00
0869 - 0.84 | 0.85
0870 - 0.92 | 0.94
0871 - 0.98 | 1.00
0872 - 0.97 | 0.97
0873 - 0.99 | 1.00
0874 - 0.98 | 0.99
0875 - 0.94 | 0.97
0876 - 0.97 | 1.00
0877 - 0.95 | 1.00
0878 - 0.91 | 0.91
0879 - 0.96 | 0.97
0880 - 0.96 | 0.97
0881 - 0.96 | 1.00
0882 - 0.98 | 0.99
0883 - 0.92 | 0.94
0884 - 0.93 | 1.00
0885 - 0.96 | 0.99
0886 - 0.97 | 0.98
0887 - 0.88 | 0.92
0888 - 0.82 | 0.91
0889 - 0.98 | 0.99
0890 - 1.00 | 1.00
0891 - 0.97 | 0.98
0892 - 0.98 | 0.98
0893 - 0.99 | 1.00
0894 - 0.94 | 0.98
0895 - 0.93 | 0.95
0896 - 0.98 | 1.00
0897 - 0.97 | 0.98
0898 - 0.70 | 0.80
0899 - 0.97 | 0.98
0900 - 0.98 | 1.00
0901 - 0.92 | 0.93
0902 - 0.94 | 1.00
0903 - 0.90 | 0.90
0904 - 0.95 | 0.98
0905 - 0.94 | 1.00
0906 - 0.98 | 1.00
0907 - 0.98 | 1.00
0908 - 0.90 | 1.00
0909 - 0.92 | 0.93
0910 - 0.93 | 1.00
0911 - 0.88 | 0.90
0912 - 0.94 | 1.00
0913 - 0.92 | 0.92
0914 - 0.94 | 1.00
0915 - 0.97 | 1.00
0916 - 0.98 | 0.99
0917 - 0.87 | 1.00
0918 - 0.98 | 1.00
0919 - 0.97 | 1.00
0920 - 0.56 | 0.78
0921 - 0.90 | 1.00
0922 - 0.88 | 0.90
