==============================================
BLEU GOLD:                               27.41
BLEU IN:                                 46.70
SIM GOLD:                               0.8591
SIM IN:                                 0.9411
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0273 -      0.00 |    0.00 |     0.96 |   0.97
0274 -     92.17 |   99.48 |     0.98 |   1.00
0275 -     98.40 |  100.00 |     0.88 |   1.00
0276 -      0.00 |    0.00 |     0.96 |   1.00
0277 -     47.31 |   98.87 |     0.92 |   0.99
0278 -     69.02 |  100.00 |     0.86 |   1.00
0279 -     41.09 |   35.69 |     0.79 |   0.95
0280 -     90.52 |   79.41 |     0.87 |   0.99
0281 -     97.22 |   71.96 |     0.92 |   1.00
0282 -      0.00 |    0.00 |     0.97 |   0.97
0283 -     41.87 |  100.00 |     0.88 |   1.00
0284 -     25.39 |   93.82 |     0.88 |   0.99
0285 -     60.21 |   94.83 |     0.93 |   0.98
0286 -     55.29 |   81.86 |     0.86 |   0.92
0287 -     98.10 |   68.88 |     0.82 |   0.90
0288 -     70.11 |   79.82 |     0.92 |   0.97
0289 -     68.17 |   88.05 |     0.89 |   1.00
0290 -     98.62 |  100.00 |     0.93 |   1.00
0291 -      0.00 |    0.00 |     0.82 |   0.94
0292 -      0.00 |    0.00 |     0.80 |   0.86
0293 -     39.55 |  100.00 |     0.99 |   1.00
0294 -     22.77 |   23.55 |     0.91 |   1.00
0295 -      0.00 |    0.00 |     0.83 |   0.87
0296 -      0.00 |  100.00 |     0.98 |   1.00
0297 -     51.25 |   92.51 |     0.93 |   0.98
0298 -      6.30 |    0.00 |     0.76 |   0.82
0299 -     21.39 |   94.96 |     0.97 |   0.98
0300 -      0.00 |    0.00 |     0.86 |   0.93
0301 -     52.10 |   90.53 |     0.93 |   0.98
0302 -     66.78 |  100.00 |     0.95 |   1.00
0303 -     44.99 |   98.92 |     0.93 |   0.98
0304 -      0.00 |    0.00 |     0.62 |   0.80
0305 -     99.00 |  100.00 |     0.94 |   1.00
0306 -     12.94 |   10.53 |     0.61 |   0.65
0307 -     27.10 |   99.43 |     0.86 |   0.99
0308 -     54.14 |   68.74 |     0.70 |   0.81
0309 -     13.02 |   58.91 |     0.84 |   0.95
0310 -     47.86 |   95.23 |     0.93 |   0.98
0311 -     35.86 |  100.00 |     0.77 |   1.00
0312 -     64.25 |   84.15 |     0.80 |   0.98
0313 -      0.00 |    0.00 |     0.93 |   1.00
0314 -      0.00 |    0.00 |     0.69 |   0.73
0315 -     84.35 |  100.00 |     0.90 |   1.00
0316 -      0.00 |    0.00 |     0.92 |   0.93
0317 -      0.00 |    0.00 |     0.93 |   0.98
0318 -     43.98 |   41.96 |     0.97 |   1.00
0319 -      9.66 |   72.79 |     0.79 |   0.82
0320 -     78.79 |  100.00 |     0.99 |   1.00
0321 -     10.12 |    9.60 |     0.64 |   0.72
0322 -      0.00 |    0.00 |     0.64 |   0.81
0323 -     28.71 |   19.58 |     0.89 |   0.90
0324 -     98.58 |    0.00 |     0.97 |   0.97
0325 -     24.03 |   99.25 |     0.82 |   0.88
0326 -      0.00 |    0.00 |     0.97 |   1.00
0327 -     41.09 |   95.04 |     0.79 |   0.99
0328 -     37.91 |   73.43 |     0.93 |   0.96
0329 -      0.00 |    5.44 |     0.75 |   0.80
0330 -     18.20 |   28.76 |     0.92 |   0.99
0331 -     33.37 |  100.00 |     0.86 |   1.00
0332 -     43.29 |   41.73 |     0.81 |   0.94
0333 -      0.00 |    0.00 |     0.87 |   0.87
0334 -      5.16 |    0.00 |     0.85 |   0.86
0335 -      0.00 |   36.68 |     0.92 |   0.96
0336 -      7.02 |   89.10 |     0.93 |   0.97
0337 -     78.44 |   79.48 |     0.91 |   0.92
0338 -     11.27 |   95.86 |     0.90 |   0.99
0339 -      0.00 |    0.00 |     0.92 |   0.97
0340 -     86.87 |   97.84 |     0.90 |   1.00
0341 -     61.79 |   70.60 |     0.75 |   0.89
0342 -     47.53 |  100.00 |     0.96 |   1.00
0343 -     20.87 |   64.53 |     0.91 |   0.98
0344 -     44.32 |    6.10 |     0.89 |   0.95
0345 -      0.00 |    8.27 |     0.89 |   0.92
0346 -      0.00 |    0.00 |     0.92 |   0.97
0347 -     76.74 |   97.45 |     0.96 |   0.98
0348 -     66.34 |   99.42 |     0.92 |   0.95
0349 -      4.90 |    0.00 |     0.69 |   0.87
0350 -     61.46 |  100.00 |     0.83 |   1.00
0351 -     25.20 |   43.22 |     0.91 |   0.95
0352 -     76.95 |   80.26 |     0.88 |   0.94
0353 -     39.78 |  100.00 |     0.97 |   1.00
0354 -      8.01 |   43.60 |     0.94 |   0.97
0355 -     28.12 |   62.49 |     0.85 |   0.93
0356 -     97.84 |   95.04 |     0.95 |   1.00
0357 -     68.97 |   74.02 |     0.83 |   0.85
0358 -     29.26 |   72.20 |     0.75 |   0.94
0359 -      0.00 |    0.00 |     0.89 |   0.84
0360 -      0.00 |    0.00 |     0.89 |   0.88
0361 -     74.47 |   66.38 |     0.98 |   1.00
0362 -     30.51 |   71.25 |     0.94 |   0.97
0363 -     53.08 |   87.56 |     0.93 |   0.96
0364 -     54.12 |   96.76 |     0.94 |   0.98
0365 -      0.00 |    0.00 |     0.90 |   0.98
0366 -     66.02 |   51.56 |     0.94 |   0.97
0367 -     11.72 |    0.00 |     0.82 |   0.80
0368 -     47.48 |  100.00 |     0.76 |   1.00
0369 -     52.11 |  100.00 |     0.93 |   1.00
0370 -      2.87 |    0.00 |     0.96 |   0.99
0371 -      0.00 |    0.00 |     0.94 |   0.92
0372 -      0.00 |    0.00 |     0.88 |   0.93
0373 -      0.00 |   87.46 |     0.79 |   0.91
0374 -     30.74 |   73.63 |     0.97 |   0.98
0375 -     48.63 |   93.80 |     0.93 |   0.98
0376 -      0.00 |    0.00 |     0.93 |   1.00
0377 -      0.00 |    0.00 |     0.79 |   0.96
0378 -      0.00 |    0.00 |     0.80 |   0.83
0379 -     31.55 |   90.88 |     0.86 |   0.92
0380 -      5.39 |    0.00 |     0.96 |   0.98
0381 -      0.00 |    0.00 |     0.69 |   0.78
0382 -      0.00 |    0.00 |     0.80 |   0.91
0383 -     67.78 |  100.00 |     0.81 |   1.00
0384 -      0.00 |    0.00 |     0.92 |   0.94
0385 -     12.49 |    0.00 |     0.94 |   0.97
0386 -      0.00 |   98.41 |     0.91 |   0.94
0387 -     31.24 |   36.14 |     0.90 |   0.90
0388 -     55.92 |   94.63 |     0.94 |   1.00
0389 -      0.00 |    0.00 |     0.31 |   0.36
0390 -     42.41 |    0.00 |     0.89 |   0.96
0391 -     26.66 |   36.06 |     0.63 |   0.82
0392 -     97.97 |   82.60 |     0.92 |   0.99
0393 -      0.00 |  100.00 |     0.79 |   1.00
0394 -      0.00 |    0.00 |     0.87 |   0.97
0395 -     57.62 |   98.54 |     0.96 |   0.98
0396 -     48.43 |  100.00 |     0.98 |   1.00
0397 -     77.33 |   92.05 |     0.96 |   0.98
0398 -      0.00 |    0.00 |     0.92 |   1.00
0399 -     70.76 |  100.00 |     0.87 |   1.00
0400 -     68.16 |   74.41 |     0.79 |   0.93
0401 -      0.00 |   61.52 |     0.92 |   0.93
0402 -     78.12 |  100.00 |     0.95 |   1.00
0403 -     38.58 |   31.70 |     0.89 |   0.92
0404 -      0.00 |    8.54 |     0.96 |   0.99
0405 -      0.00 |    0.00 |     0.93 |   0.98
0406 -     53.82 |   90.50 |     0.85 |   0.94
0407 -     61.97 |  100.00 |     0.86 |   1.00
0408 -      7.87 |   99.48 |     0.98 |   0.99
0409 -     20.88 |   11.44 |     0.88 |   0.94
0410 -     57.25 |   54.95 |     0.86 |   0.90
0411 -      0.00 |   81.62 |     0.86 |   0.99
0412 -      0.00 |    0.00 |     0.96 |   0.99
0413 -      0.00 |    8.41 |     0.79 |   0.95
0414 -     15.21 |   74.39 |     0.80 |   0.99
0415 -      0.00 |    0.00 |     0.96 |   0.90
0416 -      0.00 |    7.90 |     0.87 |   0.92
0417 -      0.00 |   38.63 |     0.79 |   1.00
0418 -     67.76 |   67.76 |     0.89 |   0.92
0419 -     16.99 |    0.00 |     0.79 |   0.76
0420 -     87.13 |   22.69 |     0.98 |   0.99
0421 -     22.76 |   40.63 |     0.81 |   0.97
0422 -     47.09 |   68.11 |     0.72 |   0.92
0423 -     39.17 |   88.92 |     0.87 |   0.97
0424 -     26.90 |  100.00 |     0.95 |   1.00
0425 -     32.52 |   57.27 |     0.82 |   0.96
0426 -      0.00 |    0.00 |     0.89 |   1.00
0427 -     25.41 |   98.26 |     0.94 |   0.96
0428 -      6.77 |  100.00 |     0.94 |   1.00
0429 -      0.00 |    0.00 |     0.57 |   0.61
0430 -     72.33 |   66.05 |     0.94 |   0.97
0431 -      0.00 |   90.49 |     0.91 |   0.96
0432 -     22.62 |   23.73 |     0.92 |   0.95
0433 -     12.11 |    0.00 |     0.70 |   0.94
0434 -      0.00 |    0.00 |     0.77 |   0.85
0435 -     99.27 |   98.79 |     0.85 |   0.96
0436 -     74.66 |   74.18 |     0.97 |   0.96
0437 -      0.00 |   38.43 |     0.72 |   0.87
0438 -     63.48 |   63.69 |     0.97 |   0.97
0439 -      8.01 |  100.00 |     0.85 |   0.94
0440 -      0.00 |    0.00 |     0.93 |   0.96
0441 -     34.50 |   84.79 |     0.66 |   0.92
0442 -      0.00 |    0.00 |     0.81 |   0.83
0443 -     35.62 |    6.74 |     0.86 |   0.94
0444 -      0.00 |    0.00 |     0.72 |   0.77
0445 -     53.05 |   33.71 |     0.98 |   0.99
0446 -     94.43 |  100.00 |     0.98 |   1.00
0447 -      0.00 |    0.00 |     0.75 |   0.93
0448 -      0.00 |    0.00 |     0.50 |   0.79
0449 -     34.97 |   89.97 |     0.85 |   0.94
0450 -      0.00 |    0.00 |     0.53 |   0.59
0451 -      0.00 |   99.48 |     0.82 |   1.00
0452 -      0.00 |   78.98 |     0.77 |   0.99
0453 -     46.93 |  100.00 |     0.60 |   1.00
0454 -     59.54 |  100.00 |     0.93 |   1.00
0455 -     98.53 |  100.00 |     0.89 |   1.00
0456 -     54.75 |   46.52 |     0.91 |   0.94
0457 -     38.88 |   19.52 |     0.96 |   1.00
0458 -     51.47 |  100.00 |     0.69 |   1.00
0459 -      0.00 |    0.00 |     0.70 |   0.71
0460 -     13.18 |   92.51 |     0.97 |   0.99
0461 -      0.00 |   16.35 |     0.05 |   0.23
0462 -     39.37 |    0.00 |     0.90 |   0.99
0463 -      7.63 |    5.63 |     0.77 |   0.89
0464 -      0.00 |    0.00 |     0.83 |   0.97
0465 -     19.48 |   19.35 |     0.90 |   0.91
0466 -      0.00 |    0.00 |     0.87 |   0.97
0467 -      0.00 |    0.00 |     0.93 |   0.96
0468 -      0.00 |    0.00 |     0.96 |   0.99
0469 -      0.00 |    0.00 |     0.90 |   0.92
0470 -      0.00 |    0.00 |     0.90 |   0.86
0471 -      0.00 |    0.00 |     0.72 |   0.75
0472 -     67.99 |   77.02 |     0.69 |   0.98
0473 -      6.56 |   87.39 |     0.92 |   0.97
0474 -      0.00 |    0.00 |     0.90 |   0.92
0475 -     39.52 |  100.00 |     0.96 |   1.00
0476 -      0.00 |    0.00 |     0.93 |   1.00
0477 -     33.34 |   32.71 |     0.91 |   0.93
0478 -     77.24 |   55.21 |     0.86 |   0.92
0479 -     50.35 |   50.69 |     0.78 |   0.84
0480 -      0.00 |   73.24 |     0.82 |   0.95
0481 -     18.32 |    0.00 |     0.97 |   0.99
0482 -      0.00 |    0.00 |     0.94 |   0.99
0483 -      5.60 |    4.19 |     0.75 |   0.81
0484 -     17.14 |   49.94 |     0.90 |   0.97
0485 -     21.79 |   64.68 |     0.91 |   1.00
0486 -     76.35 |   95.84 |     0.92 |   0.96
0487 -     98.98 |  100.00 |     0.95 |   0.99
0488 -      0.00 |    0.00 |     0.85 |   0.88
0489 -     45.76 |   46.57 |     0.76 |   0.81
0490 -     39.97 |   79.79 |     0.91 |   0.94
0491 -      0.00 |    0.00 |     0.63 |   0.66
0492 -      0.00 |    0.00 |     0.80 |   0.93
0493 -     98.79 |  100.00 |     0.92 |   1.00
0494 -      0.00 |    0.00 |     0.75 |   0.92
0495 -     10.79 |    0.00 |     0.94 |   0.96
0496 -     25.85 |   94.11 |     0.90 |   0.96
0497 -      8.04 |  100.00 |     0.87 |   1.00
0498 -      0.00 |    0.00 |     0.96 |   0.99
0499 -      0.00 |    0.00 |     0.96 |   0.99
0500 -     12.45 |   29.07 |     0.91 |   0.99
0501 -     62.81 |  100.00 |     0.91 |   1.00
0502 -     21.28 |   32.58 |     0.86 |   1.00
0503 -      0.00 |   30.40 |     0.91 |   0.94
