==============================================
BLEU GOLD:                               20.78
BLEU IN:                                 31.26
SIM GOLD:                               0.7955
SIM IN:                                 0.8661
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0451 -      0.00 |   36.88 |     0.78 |   0.95
0452 -      0.00 |    9.87 |     0.79 |   0.92
0453 -     46.93 |  100.00 |     0.60 |   1.00
0454 -     59.54 |  100.00 |     0.93 |   1.00
0455 -      0.00 |    0.00 |     0.78 |   0.91
0456 -     64.66 |   57.20 |     0.92 |   0.96
0457 -     25.26 |   23.85 |     0.92 |   0.89
0458 -     51.47 |  100.00 |     0.69 |   1.00
0459 -      0.00 |    0.00 |     0.58 |   0.62
0460 -      0.00 |    0.00 |     0.76 |   0.77
0461 -      0.00 |    0.00 |     0.81 |   0.86
0462 -      8.80 |    8.77 |     0.73 |   0.82
0463 -      7.77 |    6.00 |     0.90 |   0.92
0464 -      0.00 |    0.00 |     0.72 |   0.70
0465 -      0.00 |    0.00 |     0.62 |   0.64
0466 -     38.74 |  100.00 |     0.90 |   1.00
0467 -     56.16 |   67.12 |     0.98 |   1.00
0468 -      0.00 |    0.00 |     0.60 |   0.66
0469 -      7.01 |   24.89 |     0.95 |   0.96
0470 -     51.41 |    0.00 |     0.82 |   0.86
0471 -      0.00 |    0.00 |     0.58 |   0.68
0472 -     12.71 |   18.11 |     0.62 |   0.86
0473 -     11.27 |    0.00 |     0.93 |   0.89
0474 -      0.00 |    0.00 |     0.55 |   0.75
0475 -     44.69 |   37.69 |     0.95 |   0.99
0476 -      0.00 |    0.00 |     0.92 |   0.98
0477 -     34.04 |   34.64 |     0.96 |   0.99
0478 -     65.63 |   49.92 |     0.82 |   0.92
0479 -     11.65 |   11.38 |     0.86 |   0.91
0480 -      0.00 |   41.13 |     0.52 |   0.66
0481 -      0.00 |    0.00 |     0.75 |   0.74
0482 -     21.23 |   99.11 |     0.94 |   1.00
0483 -     25.74 |   24.87 |     0.89 |   0.94
0484 -     17.14 |   49.94 |     0.85 |   0.93
0485 -      0.00 |    0.00 |     0.93 |   0.96
0486 -     41.28 |   22.34 |     0.90 |   0.95
0487 -     25.07 |   23.51 |     0.89 |   0.83
0488 -      0.00 |    0.00 |     0.83 |   0.87
0489 -     12.80 |   51.44 |     0.80 |   0.87
0490 -     40.73 |  100.00 |     0.97 |   1.00
0491 -      0.00 |    0.00 |     0.66 |   0.74
0492 -      0.00 |    0.00 |     0.68 |   0.77
0493 -     42.15 |   34.54 |     0.91 |   1.00
0494 -     13.54 |    0.00 |     0.51 |   0.75
0495 -     23.84 |   41.11 |     0.89 |   0.89
0496 -     23.71 |   24.14 |     0.87 |   0.93
0497 -      6.89 |   70.34 |     0.85 |   0.99
0498 -     23.22 |   93.12 |     0.92 |   0.96
0499 -      0.00 |    0.00 |     0.90 |   0.95
0500 -      0.00 |    0.00 |     0.63 |   0.63
0501 -     62.81 |  100.00 |     0.91 |   1.00
0502 -     20.39 |   16.56 |     0.83 |   0.87
0503 -      0.00 |    0.00 |     0.88 |   0.89
